Country	Continent
Cameroon	Africa
Democratic Republic of the Congo	Africa
Egypt	Africa
Ethiopia	Africa
Gabon	Africa
Liberia	Africa
Morocco	Africa
Rwanda	Africa
South Africa	Africa
Sudan	Africa
Tanzania	Africa
Uganda	Africa
China	Asia
Japan	Asia
Mongolia	Asia
Nepal	Asia
Philippines	Asia
Taiwan	Asia
Guadeloupe	Caribbean
Belgium	Europe
Croatia	Europe
Czech Republic	Europe
England	Europe
France	Europe
Germany	Europe
Great Britain	Europe
Ireland	Europe
Italy	Europe
Norway	Europe
Portugal	Europe
Romania	Europe
Russia	Europe
Serbia	Europe
Spain	Europe
Sweden	Europe
The Netherlands	Europe
United Kingdom	Europe
Belize	North America
Nicaragua	North America
USA	North America
Australia	Oceania
Efate	Oceania
Fiji	Oceania
Flores	Oceania
Futuna	Oceania
Papua New Guinea	Oceania
Raiatea	Oceania
Rapa_Nui	Oceania
Taumako_Duff_Islands	Oceania
Tongatapu	Oceania
Uripiv	Oceania
Vao	Oceania
Viti_Levu	Oceania
Venezuela	South America
Unknown	Unknown
not provided	not provided
